

TIME =   1.000e+00

Nodal Displacements

 Node          U1          U2          U3
  125   1.353e-04   8.174e-02  -1.694e-05
  126   0.000e+00   8.363e-02  -2.233e-05
  127  -8.753e-02  -2.392e-04  -5.566e-05
  128  -7.993e-02   8.982e-04   1.621e-06
  129  -6.848e-02   4.480e-03   6.345e-05
  130  -5.475e-02   1.104e-02   9.889e-05
  131  -4.052e-02   2.045e-02   9.697e-05
  132  -2.739e-02   3.199e-02   6.523e-05
  133  -1.651e-02   4.457e-02   2.177e-05
  134  -8.450e-03   5.695e-02  -1.707e-05
  135  -3.283e-03   6.794e-02  -4.332e-05
  136  -6.349e-04   7.655e-02  -5.690e-05
  137   1.695e-04   8.203e-02  -6.107e-05
  138   0.000e+00   8.391e-02  -5.442e-05
  139  -8.759e-02   5.157e-04  -1.385e-04
  140  -8.028e-02   2.299e-03  -8.513e-05
  141  -6.923e-02   6.332e-03  -2.109e-05
  142  -5.592e-02   1.309e-02   3.247e-05
  143  -4.206e-02   2.245e-02   6.339e-05
  144  -2.915e-02   3.375e-02   7.135e-05
  145  -1.832e-02   4.595e-02   6.372e-05
  146  -1.015e-02   5.791e-02   5.008e-05
  147  -4.707e-03   6.851e-02   3.769e-05
  148  -1.658e-03   7.680e-02   2.946e-05
  149  -3.653e-04   8.208e-02   2.547e-05
  150   0.000e+00   8.389e-02   2.749e-05
  151  -8.746e-02   5.730e-04  -7.820e-05
  152  -8.008e-02   2.414e-03  -3.172e-05
  153  -6.897e-02   6.490e-03   1.955e-05
  154  -5.568e-02   1.325e-02   5.631e-05
  155  -4.190e-02   2.255e-02   6.956e-05
  156  -2.911e-02   3.374e-02   6.150e-05
  157  -1.837e-02   4.582e-02   4.142e-05
  158  -1.024e-02   5.768e-02   1.913e-05
  159  -4.800e-03   6.823e-02   1.069e-06
  160  -1.727e-03   7.650e-02  -1.058e-05
  161  -4.024e-04   8.179e-02  -1.652e-05
  162   0.000e+00   8.361e-02  -2.154e-05
  163  -8.778e-02   5.835e-04  -7.161e-05
  164  -8.022e-02   2.457e-03  -2.770e-05
  165  -6.893e-02   6.584e-03   2.130e-05
  166  -5.554e-02   1.338e-02   5.539e-05
  167  -4.175e-02   2.268e-02   6.672e-05
  168  -2.900e-02   3.382e-02   5.809e-05
  169  -1.832e-02   4.584e-02   3.837e-05
  170  -1.022e-02   5.766e-02   1.686e-05
  171  -4.792e-03   6.820e-02  -5.358e-07
  172  -1.721e-03   7.649e-02  -1.203e-05
  173  -3.962e-04   8.179e-02  -1.876e-05
  174   0.000e+00   8.361e-02  -2.211e-05
  175  -8.812e-02   6.007e-04  -7.050e-05
  176  -8.034e-02   2.518e-03  -2.690e-05
  177  -6.885e-02   6.704e-03   2.053e-05
  178  -5.536e-02   1.354e-02   5.263e-05
  179  -4.157e-02   2.282e-02   6.263e-05
  180  -2.889e-02   3.390e-02   5.408e-05
  181  -1.827e-02   4.585e-02   3.581e-05
  182  -1.021e-02   5.763e-02   1.628e-05
  183  -4.791e-03   6.815e-02   7.614e-07
  184  -1.719e-03   7.646e-02  -9.360e-06
  185  -3.940e-04   8.178e-02  -1.506e-05
  186   0.000e+00   8.361e-02  -1.753e-05
  187  -8.845e-02   6.288e-04  -6.338e-05
  188  -8.042e-02   2.604e-03  -2.321e-05
  189  -6.871e-02   6.855e-03   2.023e-05
  190  -5.514e-02   1.371e-02   4.892e-05
  191  -4.139e-02   2.296e-02   5.707e-05
  192  -2.879e-02   3.396e-02   4.850e-05
  193  -1.823e-02   4.585e-02   3.175e-05
  194  -1.021e-02   5.758e-02   1.446e-05
  195  -4.798e-03   6.809e-02   9.078e-07
  196  -1.724e-03   7.641e-02  -7.832e-06
  197  -3.954e-04   8.175e-02  -1.275e-05
  198   0.000e+00   8.358e-02  -1.510e-05
  199  -8.884e-02   6.718e-04  -4.695e-05
  200  -8.046e-02   2.721e-03  -1.684e-05
  201  -6.850e-02   7.039e-03   1.777e-05
  202  -5.489e-02   1.390e-02   4.113e-05
  203  -4.121e-02   2.309e-02   4.726e-05
  204  -2.870e-02   3.401e-02   3.989e-05
  205  -1.821e-02   4.583e-02   2.588e-05
  206  -1.021e-02   5.752e-02   1.165e-05
  207  -4.808e-03   6.804e-02   6.964e-07
  208  -1.729e-03   7.637e-02  -6.272e-06
  209  -3.970e-04   8.172e-02  -1.021e-05
  210   0.000e+00   8.356e-02  -1.243e-05
  211  -8.936e-02   7.245e-04  -7.680e-06
  212  -8.048e-02   2.864e-03  -4.181e-06
  213  -6.824e-02   7.247e-03   1.241e-05
  214  -5.461e-02   1.410e-02   2.752e-05
  215  -4.103e-02   2.321e-02   3.230e-05
  216  -2.863e-02   3.405e-02   2.754e-05
  217  -1.820e-02   4.580e-02   1.794e-05
  218  -1.022e-02   5.747e-02   8.078e-06
  219  -4.817e-03   6.799e-02   4.906e-07
  220  -1.733e-03   7.634e-02  -4.409e-06
  221  -3.982e-04   8.170e-02  -7.105e-06
  222   0.000e+00   8.355e-02  -8.639e-06
  223  -9.018e-02   7.678e-04   4.445e-05
  224  -8.060e-02   2.983e-03   1.615e-05
  225  -6.805e-02   7.412e-03   1.393e-05
  226  -5.440e-02   1.424e-02   1.736e-05
  227  -4.091e-02   2.329e-02   1.795e-05
  228  -2.858e-02   3.407e-02   1.457e-05
  229  -1.819e-02   4.578e-02   9.297e-06
  230  -1.023e-02   5.744e-02   4.131e-06
  231  -4.824e-03   6.796e-02   2.662e-07
  232  -1.736e-03   7.632e-02  -2.148e-06
  233  -3.988e-04   8.169e-02  -3.557e-06
  234   0.000e+00   8.354e-02  -4.210e-06

Element Stress

        S11         S22         S33         S12         S23         S13
Element     1
 -3.636e+02  -1.138e+04  -6.258e+03   1.402e+03   7.730e+01   3.931e+02
 -3.344e+02  -7.743e+03  -4.465e+03   1.040e+03  -1.419e+00   3.765e+02
 -2.762e+02  -8.441e+02  -1.060e+03   3.549e+02  -1.718e+02   3.492e+02
 -2.141e+02   6.059e+03   2.353e+03  -3.303e+02  -3.698e+02   3.271e+02
 -1.798e+02   9.702e+03   4.156e+03  -6.918e+02  -4.854e+02   3.177e+02
Element     2
  2.255e+02  -1.223e+04  -5.314e+03   1.487e+03   2.102e+02   7.367e+02
  2.537e+02  -8.393e+03  -3.712e+03   1.146e+03   1.265e+02   5.843e+02
  3.072e+02  -1.124e+03  -6.761e+02   5.001e+02  -5.524e+01   2.979e+02
  3.607e+02   6.145e+03   2.360e+03  -1.462e+02  -2.670e+02   1.498e+01
  3.889e+02   9.980e+03   3.962e+03  -4.871e+02  -3.908e+02  -1.329e+02
Element     3
 -1.007e+03  -6.440e+03  -3.876e+03   2.213e+03   4.622e+02   2.611e+02
 -8.399e+02  -4.434e+03  -2.810e+03   1.583e+03   2.197e+02   1.267e+02
 -5.182e+02  -6.285e+02  -7.792e+02   3.895e+02  -2.515e+02  -1.214e+02
 -1.916e+02   3.183e+03   1.262e+03  -8.041e+02  -7.378e+02  -3.606e+02
 -1.722e+01   5.195e+03   2.344e+03  -1.434e+03  -1.000e+03  -4.832e+02
Element     4
 -3.504e+02  -5.789e+03  -1.987e+03   1.915e+03  -8.316e+00   8.205e+02
 -1.990e+02  -4.058e+03  -1.342e+03   1.362e+03  -7.825e+01   5.769e+02
  8.797e+01  -7.773e+02  -1.185e+02   3.145e+02  -2.214e+02   1.210e+02
  3.749e+02   2.503e+03   1.105e+03  -7.331e+02  -3.785e+02  -3.275e+02
  5.263e+02   4.234e+03   1.750e+03  -1.286e+03  -4.670e+02  -5.611e+02
Element     5
 -1.097e+03  -2.772e+03  -1.271e+03   1.881e+03   2.552e+02   5.929e+02
 -8.072e+02  -1.917e+03  -8.593e+02   1.307e+03   1.050e+02   3.688e+02
 -2.565e+02  -2.950e+02  -7.543e+01   2.193e+02  -1.847e+02  -4.874e+01
  2.959e+02   1.329e+03   7.123e+02  -8.686e+02  -4.809e+02  -4.568e+02
  5.881e+02   2.186e+03   1.129e+03  -1.442e+03  -6.397e+02  -6.683e+02
Element     6
 -7.784e+02  -2.553e+03  -4.618e+02   1.764e+03   1.183e+02   9.246e+02
 -5.053e+02  -1.793e+03  -2.000e+02   1.233e+03   2.142e+01   6.399e+02
  1.239e+01  -3.523e+02   2.965e+02   2.254e+02  -1.668e+02   1.067e+02
  5.301e+02   1.089e+03   7.929e+02  -7.816e+02  -3.612e+02  -4.177e+02
  8.031e+02   1.849e+03   1.055e+03  -1.313e+03  -4.661e+02  -6.909e+02
Element     7
 -1.260e+03  -8.365e+02  -7.470e+01   1.365e+03   2.937e+02   7.670e+02
 -8.831e+02  -5.853e+02   6.007e+01   9.212e+02   1.541e+02   4.982e+02
 -1.692e+02  -1.089e+02   3.158e+02   7.978e+01  -1.116e+02  -4.185e+00
  5.449e+02   3.676e+02   5.718e+02  -7.616e+02  -3.786e+02  -4.974e+02
  9.216e+02   6.191e+02   7.070e+02  -1.205e+03  -5.199e+02  -7.539e+02
Element     8
 -9.960e+02  -7.300e+02   1.478e+02   1.363e+03   3.195e+02   9.092e+02
 -6.338e+02  -5.019e+02   2.623e+02   9.399e+02   1.815e+02   6.091e+02
  5.292e+01  -6.953e+01   4.793e+02   1.370e+02  -8.109e+01   4.700e+01
  7.396e+02   3.628e+02   6.962e+02  -6.658e+02  -3.449e+02  -5.065e+02
  1.102e+03   5.909e+02   8.107e+02  -1.089e+03  -4.846e+02  -7.949e+02
Element     9
 -1.248e+03   3.947e+02   4.192e+02   6.711e+02   4.305e+02   8.343e+02
 -8.624e+02   2.411e+02   4.222e+02   4.346e+02   2.621e+02   5.506e+02
 -1.326e+02  -5.052e+01   4.272e+02  -1.382e+01  -5.497e+01   1.882e+01
  5.966e+02  -3.425e+02   4.313e+02  -4.622e+02  -3.693e+02  -5.051e+02
  9.812e+02  -4.968e+02   4.330e+02  -6.988e+02  -5.340e+02  -7.784e+02
Element    10
 -1.041e+03   4.854e+02   3.552e+02   7.638e+02   5.128e+02   8.359e+02
 -6.588e+02   3.407e+02   3.884e+02   5.263e+02   3.290e+02   5.467e+02
  6.543e+01   6.623e+01   4.512e+02   7.608e+01  -1.740e+01   4.426e+00
  7.896e+02  -2.082e+02   5.141e+02  -3.742e+02  -3.611e+02  -5.302e+02
  1.172e+03  -3.530e+02   5.473e+02  -6.117e+02  -5.414e+02  -8.092e+02
Element    11
 -8.895e+02   1.176e+03   6.161e+02  -1.266e+02   5.873e+02   7.924e+02
 -6.160e+02   7.557e+02   5.302e+02  -9.810e+01   3.746e+02   5.250e+02
