

TIME =   1.000e-01

Nodal Displacements

 Node          U1          U2          U3
  124   6.684e-02  -2.758e-01  -6.317e-01
  125   4.118e-02  -3.255e-01  -6.923e-01
  126   2.239e-02  -3.714e-01  -7.450e-01
  127   1.008e-02  -4.109e-01  -7.880e-01
  128   3.288e-03  -4.414e-01  -8.199e-01
  129   5.617e-04  -4.608e-01  -8.394e-01
  130   0.000e+00  -4.674e-01  -8.461e-01
  131   3.377e-01  -6.265e-04  -1.410e-01
  132   3.212e-01  -3.769e-03  -1.630e-01
  133   2.957e-01  -1.152e-02  -1.983e-01
  134   2.633e-01  -2.528e-02  -2.446e-01
  135   2.267e-01  -4.570e-02  -2.999e-01
  136   1.882e-01  -7.275e-02  -3.614e-01
  137   1.501e-01  -1.057e-01  -4.267e-01
  138   1.143e-01  -1.435e-01  -4.933e-01
  139   8.238e-02  -1.844e-01  -5.587e-01
  140   5.543e-02  -2.265e-01  -6.208e-01
  141   3.409e-02  -2.676e-01  -6.773e-01
  142   1.849e-02  -3.055e-01  -7.265e-01
  143   8.304e-03  -3.380e-01  -7.666e-01
  144   2.706e-03  -3.630e-01  -7.963e-01
  145   4.664e-04  -3.788e-01  -8.146e-01
  146   0.000e+00  -3.842e-01  -8.208e-01
  147   2.738e-01  -5.075e-04  -1.737e-01
  148   2.608e-01  -2.988e-03  -1.933e-01
  149   2.406e-01  -9.124e-03  -2.247e-01
  150   2.147e-01  -2.008e-02  -2.663e-01
  151   1.852e-01  -3.648e-02  -3.161e-01
  152   1.540e-01  -5.833e-02  -3.718e-01
  153   1.229e-01  -8.512e-02  -4.312e-01
  154   9.366e-02  -1.159e-01  -4.919e-01
  155   6.751e-02  -1.493e-01  -5.517e-01
  156   4.541e-02  -1.837e-01  -6.085e-01
  157   2.790e-02  -2.173e-01  -6.603e-01
  158   1.513e-02  -2.482e-01  -7.055e-01
  159   6.797e-03  -2.746e-01  -7.423e-01
  160   2.225e-03  -2.949e-01  -7.695e-01
  161   3.920e-04  -3.077e-01  -7.863e-01
  162   0.000e+00  -3.120e-01  -7.920e-01
  163   2.188e-01  -4.121e-04  -2.071e-01
  164   2.087e-01  -2.361e-03  -2.243e-01
  165   1.928e-01  -7.174e-03  -2.521e-01
  166   1.724e-01  -1.581e-02  -2.889e-01
  167   1.489e-01  -2.880e-02  -3.331e-01
  168   1.240e-01  -4.620e-02  -3.828e-01
  169   9.911e-02  -6.762e-02  -4.359e-01
  170   7.558e-02  -9.229e-02  -4.904e-01
  171   5.450e-02  -1.191e-01  -5.441e-01
