

TIME =   1.000e+00

Nodal Displacements

 Node          U1          U2          U3
    1  -4.506e-01   0.000e+00   0.000e+00
    2  -4.506e-01   0.000e+00   0.000e+00
    3  -4.300e-01   0.000e+00  -1.773e-04
    4  -4.300e-01   0.000e+00  -8.047e-04
    5  -4.451e-01   0.000e+00  -9.652e-04
    6  -4.386e-01   0.000e+00  -5.799e-04
    7  -4.359e-01   0.000e+00  -6.424e-04
    8  -4.339e-01   0.000e+00  -6.144e-04
    9  -4.320e-01   0.000e+00  -6.386e-04
   10  -4.300e-01   0.000e+00  -6.495e-04
   11  -4.284e-01   0.000e+00  -5.994e-04
   12  -4.284e-01   0.000e+00  -4.461e-04
   13  -4.300e-01   0.000e+00  -3.411e-04
   14  -4.320e-01   0.000e+00  -3.545e-04
   15  -4.339e-01   0.000e+00  -3.722e-04
   16  -4.359e-01   0.000e+00  -2.829e-04
   17  -4.386e-01   0.000e+00  -1.722e-04
   18  -4.451e-01   0.000e+00   5.348e-04
   19  -4.299e-01   3.972e-03   0.000e+00
   20  -3.828e-01   1.415e-02   0.000e+00
   21  -3.246e-01   3.474e-02   0.000e+00
   22  -2.607e-01   6.675e-02   0.000e+00
   23  -1.970e-01   1.097e-01   0.000e+00
   24  -1.381e-01   1.612e-01   0.000e+00
   25  -8.812e-02   2.176e-01   0.000e+00
   26  -4.966e-02   2.739e-01   0.000e+00
   27  -2.346e-02   3.249e-01   0.000e+00
   28  -8.463e-03   3.656e-01   0.000e+00
   29  -1.949e-03   3.917e-01   0.000e+00
   30   0.000e+00   4.008e-01   0.000e+00
   31  -4.291e-01  -1.990e-03   0.000e+00
   32  -3.807e-01   6.333e-03   0.000e+00
   33  -3.208e-01   2.554e-02   0.000e+00
   34  -2.553e-01   5.724e-02   0.000e+00
   35  -1.899e-01   1.005e-01   0.000e+00
   36  -1.300e-01   1.531e-01   0.000e+00
   37  -7.966e-02   2.111e-01   0.000e+00
   38  -4.159e-02   2.692e-01   0.000e+00
   39  -1.656e-02   3.220e-01   0.000e+00
   40  -3.426e-03   3.642e-01   0.000e+00
   41   7.072e-04   3.914e-01   0.000e+00
   42   0.000e+00   4.008e-01   0.000e+00
   43  -4.270e-01  -1.489e-03  -4.071e-04
   44  -3.811e-01   5.969e-03   1.160e-04
   45  -3.213e-01   2.530e-02   1.806e-04
   46  -2.556e-01   5.696e-02   1.828e-04
   47  -1.901e-01   1.004e-01   1.194e-04
   48  -1.300e-01   1.531e-01   6.656e-05
   49  -7.965e-02   2.111e-01   2.215e-05
   50  -4.157e-02   2.693e-01  -2.392e-06
   51  -1.655e-02   3.221e-01  -1.364e-05
   52  -3.423e-03   3.642e-01  -1.452e-05
   53   7.069e-04   3.914e-01  -1.225e-05
   54   0.000e+00   4.008e-01  -1.070e-05
   55  -4.234e-01  -1.041e-03  -4.506e-04
   56  -3.815e-01   5.575e-03   1.860e-05
   57  -3.224e-01   2.450e-02   3.068e-04
   58  -2.564e-01   5.635e-02   3.029e-04
   59  -1.905e-01   1.001e-01   2.354e-04
   60  -1.301e-01   1.531e-01   1.302e-04
   61  -7.963e-02   2.112e-01   5.057e-05
   62  -4.153e-02   2.694e-01  -3.004e-06
   63  -1.653e-02   3.222e-01  -2.526e-05
   64  -3.418e-03   3.643e-01  -2.919e-05
   65   7.049e-04   3.914e-01  -2.447e-05
   66   0.000e+00   4.008e-01  -2.204e-05
   67  -4.214e-01  -1.036e-03  -4.154e-04
   68  -3.814e-01   5.284e-03  -4.746e-05
   69  -3.237e-01   2.364e-02   2.733e-04
   70  -2.575e-01   5.552e-02   3.864e-04
   71  -1.911e-01   9.958e-02   3.150e-04
   72  -1.303e-01   1.529e-01   1.981e-04
   73  -7.962e-02   2.113e-01   7.903e-05
   74  -4.147e-02   2.697e-01   1.648e-06
   75  -1.649e-02   3.224e-01  -3.666e-05
   76  -3.405e-03   3.644e-01  -4.326e-05
   77   7.037e-04   3.915e-01  -3.806e-05
   78   0.000e+00   4.008e-01  -3.401e-05
   79  -4.201e-01  -1.032e-03  -4.829e-04
   80  -3.813e-01   4.974e-03  -1.073e-04
   81  -3.246e-01   2.297e-02   2.305e-04
   82  -2.586e-01   5.466e-02   3.956e-04
   83  -1.918e-01   9.897e-02   3.779e-04
   84  -1.306e-01   1.527e-01   2.494e-04
   85  -7.964e-02   2.114e-01   1.117e-04
   86  -4.140e-02   2.699e-01   6.865e-06
   87  -1.642e-02   3.227e-01  -4.448e-05
   88  -3.381e-03   3.646e-01  -5.709e-05
   89   7.060e-04   3.916e-01  -5.071e-05
   90   0.000e+00   4.008e-01  -4.650e-05
   91  -4.187e-01  -1.011e-03  -4.895e-04
   92  -3.810e-01   4.810e-03  -1.697e-04
   93  -3.252e-01   2.243e-02   1.801e-04
   94  -2.596e-01   5.392e-02   3.835e-04
   95  -1.925e-01   9.831e-02   4.017e-04
   96  -1.310e-01   1.524e-01   2.925e-04
   97  -7.971e-02   2.115e-01   1.422e-04
   98  -4.135e-02   2.702e-01   2.439e-05
   99  -1.638e-02   3.230e-01  -3.905e-05
  100  -3.370e-03   3.648e-01  -5.394e-05
  101   6.995e-04   3.916e-01  -4.747e-05
  102   0.000e+00   4.008e-01  -4.183e-05
  103  -4.171e-01  -9.297e-04  -5.323e-04
  104  -3.803e-01   4.774e-03  -2.155e-04
  105  -3.254e-01   2.211e-02   1.225e-04
  106  -2.603e-01   5.333e-02   3.529e-04
  107  -1.932e-01   9.772e-02   4.053e-04
  108  -1.314e-01   1.520e-01   3.180e-04
  109  -7.989e-02   2.114e-01   1.763e-04
  110  -4.141e-02   2.703e-01   5.443e-05
  111  -1.642e-02   3.230e-01  -1.080e-05
  112  -3.430e-03   3.647e-01  -2.639e-05
  113   6.535e-04   3.914e-01  -1.744e-05
  114   0.000e+00   4.006e-01  -1.141e-05
  115  -4.157e-01  -8.680e-04  -4.783e-04
  116  -3.797e-01   4.745e-03  -1.949e-04
  117  -3.256e-01   2.184e-02   1.318e-04
  118  -2.609e-01   5.284e-02   3.505e-04
  119  -1.939e-01   9.718e-02   4.065e-04
  120  -1.318e-01   1.517e-01   3.209e-04
  121  -8.007e-02   2.113e-01   1.748e-04
