

TIME =   1.000e-02

Nodal Displacements

 Node          U1          U2          U3
  126  -1.644e-02   5.759e-01  -2.634e-04
  127  -5.037e-03   6.175e-01   3.655e-05
  128   6.656e-04   6.507e-01   4.630e-04
  129   1.704e-03   6.724e-01   8.321e-04
  130   0.000e+00   6.800e-01   1.040e-03
  131  -7.103e-01  -9.529e-04   6.462e-05
  132  -6.993e-01  -1.101e-03   6.544e-05
  133  -6.812e-01   3.421e-04   6.609e-05
  134  -6.565e-01   4.124e-03   6.549e-05
  135  -6.255e-01   1.094e-02   6.227e-05
  136  -5.889e-01   2.140e-02   5.477e-05
  137  -5.475e-01   3.603e-02   4.118e-05
  138  -5.022e-01   5.524e-02   1.968e-05
  139  -4.539e-01   7.930e-02  -1.144e-05
  140  -4.035e-01   1.084e-01  -5.356e-05
  141  -3.524e-01   1.424e-01  -1.075e-04
  142  -3.014e-01   1.811e-01  -1.732e-04
  143  -2.517e-01   2.242e-01  -2.493e-04
  144  -2.044e-01   2.712e-01  -3.321e-04
  145  -1.604e-01   3.211e-01  -4.149e-04
  146  -1.206e-01   3.732e-01  -4.864e-04
  147  -8.571e-02   4.262e-01  -5.298e-04
  148  -5.638e-02   4.789e-01  -5.190e-04
  149  -3.299e-02   5.297e-01  -4.252e-04
  150  -1.578e-02   5.766e-01  -2.108e-04
  151  -4.710e-03   6.174e-01   1.281e-04
  152   7.022e-04   6.495e-01   5.284e-04
  153   1.613e-03   6.702e-01   8.869e-04
  154   0.000e+00   6.773e-01   1.008e-03
  155  -7.103e-01  -9.522e-04   8.037e-05
  156  -6.994e-01  -1.100e-03   8.134e-05
  157  -6.813e-01   3.406e-04   8.203e-05
  158  -6.566e-01   4.119e-03   8.106e-05
  159  -6.256e-01   1.093e-02   7.668e-05
  160  -5.891e-01   2.138e-02   6.675e-05
  161  -5.477e-01   3.600e-02   4.903e-05
  162  -5.024e-01   5.521e-02   2.122e-05
  163  -4.540e-01   7.927e-02  -1.868e-05
  164  -4.037e-01   1.083e-01  -7.215e-05
  165  -3.524e-01   1.424e-01  -1.397e-04
  166  -3.014e-01   1.812e-01  -2.206e-04
  167  -2.516e-01   2.244e-01  -3.116e-04
  168  -2.041e-01   2.714e-01  -4.069e-04
  169  -1.599e-01   3.216e-01  -4.962e-04
  170  -1.199e-01   3.738e-01  -5.642e-04
  171  -8.490e-02   4.270e-01  -5.889e-04
  172  -5.551e-02   4.798e-01  -5.439e-04
  173  -3.219e-02   5.305e-01  -3.989e-04
  174  -1.519e-02   5.771e-01  -1.379e-04
  175  -4.408e-03   6.173e-01   2.220e-04
  176   7.540e-04   6.485e-01   6.187e-04
  177   1.573e-03   6.684e-01   9.252e-04
  178   0.000e+00   6.753e-01   1.051e-03
  179  -7.104e-01  -9.514e-04   9.491e-05
  180  -6.995e-01  -1.100e-03   9.600e-05
  181  -6.815e-01   3.390e-04   9.667e-05
  182  -6.567e-01   4.113e-03   9.526e-05
  183  -6.258e-01   1.091e-02   8.958e-05
  184  -5.893e-01   2.136e-02   7.707e-05
  185  -5.480e-01   3.597e-02   5.499e-05
  186  -5.026e-01   5.517e-02   2.068e-05
  187  -4.543e-01   7.924e-02  -2.810e-05
  188  -4.039e-01   1.083e-01  -9.274e-05
  189  -3.525e-01   1.424e-01  -1.733e-04
  190  -3.013e-01   1.813e-01  -2.677e-04
  191  -2.514e-01   2.246e-01  -3.710e-04
  192  -2.037e-01   2.718e-01  -4.746e-04
  193  -1.593e-01   3.221e-01  -5.648e-04
  194  -1.192e-01   3.745e-01  -6.227e-04
  195  -8.407e-02   4.279e-01  -6.242e-04
  196  -5.467e-02   4.807e-01  -5.425e-04
  197  -3.147e-02   5.313e-01  -3.566e-04
  198  -1.469e-02   5.775e-01  -6.337e-05
  199  -4.170e-03   6.170e-01   3.082e-04
  200   7.961e-04   6.475e-01   6.833e-04
  201   1.543e-03   6.669e-01   9.707e-04
  202   0.000e+00   6.735e-01   1.075e-03
  203  -7.105e-01  -9.498e-04   1.069e-04
  204  -6.996e-01  -1.098e-03   1.081e-04
  205  -6.816e-01   3.387e-04   1.087e-04
  206  -6.569e-01   4.107e-03   1.068e-04
  207  -6.260e-01   1.090e-02   9.980e-05
  208  -5.895e-01   2.134e-02   8.466e-05
  209  -5.482e-01   3.594e-02   5.823e-05
  210  -5.029e-01   5.514e-02   1.751e-05
  211  -4.545e-01   7.922e-02  -3.984e-05
  212  -4.040e-01   1.083e-01  -1.150e-04
  213  -3.526e-01   1.424e-01  -2.072e-04
  214  -3.012e-01   1.814e-01  -3.132e-04
  215  -2.511e-01   2.248e-01  -4.258e-04
  216  -2.033e-01   2.721e-01  -5.337e-04
  217  -1.587e-01   3.226e-01  -6.204e-04
  218  -1.184e-01   3.752e-01  -6.646e-04
  219  -8.325e-02   4.287e-01  -6.414e-04
  220  -5.389e-02   4.815e-01  -5.281e-04
  221  -3.083e-02   5.318e-01  -3.111e-04
  222  -1.428e-02   5.776e-01   1.943e-06
  223  -3.986e-03   6.166e-01   3.717e-04
  224   8.203e-04   6.465e-01   7.308e-04
  225   1.515e-03   6.654e-01   9.925e-04
  226   0.000e+00   6.718e-01   1.090e-03
  227  -7.106e-01  -9.467e-04   1.144e-04
  228  -6.997e-01  -1.093e-03   1.157e-04
  229  -6.817e-01   3.420e-04   1.164e-04
  230  -6.571e-01   4.106e-03   1.140e-04
  231  -6.262e-01   1.089e-02   1.058e-04
  232  -5.898e-01   2.132e-02   8.812e-05
  233  -5.485e-01   3.592e-02   5.759e-05
  234  -5.031e-01   5.512e-02   1.092e-05
  235  -4.547e-01   7.920e-02  -5.425e-05
  236  -4.042e-01   1.083e-01  -1.387e-04
  237  -3.526e-01   1.425e-01  -2.409e-04
  238  -3.011e-01   1.816e-01  -3.559e-04
  239  -2.508e-01   2.251e-01  -4.747e-04
  240  -2.028e-01   2.726e-01  -5.835e-04
  241  -1.581e-01   3.232e-01  -6.637e-04
  242  -1.177e-01   3.759e-01  -6.926e-04
  243  -8.246e-02   4.294e-01  -6.468e-04
  244  -5.317e-02   4.822e-01  -5.076e-04
  245  -3.027e-02   5.323e-01  -2.690e-04
  246  -1.393e-02   5.777e-01   5.324e-05
  247  -3.840e-03   6.162e-01   4.174e-04
  248   8.341e-04   6.456e-01   7.573e-04
  249   1.490e-03   6.640e-01   1.001e-03
  250   0.000e+00   6.703e-01   1.089e-03
  251  -7.106e-01  -9.409e-04   1.158e-04
  252  -6.997e-01  -1.084e-03   1.172e-04
  253  -6.818e-01   3.528e-04   1.179e-04
  254  -6.572e-01   4.114e-03   1.152e-04
  255  -6.264e-01   1.089e-02   1.058e-04
  256  -5.900e-01   2.131e-02   8.601e-05
  257  -5.487e-01   3.591e-02   5.188e-05
  258  -5.034e-01   5.510e-02   5.833e-08
  259  -4.549e-01   7.920e-02  -7.172e-05
  260  -4.043e-01   1.084e-01  -1.638e-04
  261  -3.526e-01   1.426e-01  -2.736e-04
  262  -3.009e-01   1.817e-01  -3.949e-04
  263  -2.505e-01   2.254e-01  -5.169e-04
  264  -2.022e-01   2.730e-01  -6.238e-04
  265  -1.574e-01   3.238e-01  -6.955e-04
  266  -1.169e-01   3.766e-01  -7.093e-04
  267  -8.170e-02   4.301e-01  -6.439e-04
  268  -5.250e-02   4.828e-01  -4.848e-04
  269  -2.977e-02   5.327e-01  -2.321e-04
  270  -1.363e-02   5.777e-01   9.357e-05
  271  -3.718e-03   6.157e-01   4.484e-04
  272   8.433e-04   6.446e-01   7.718e-04
  273   1.467e-03   6.627e-01   9.990e-04
  274   0.000e+00   6.689e-01   1.081e-03
  275  -7.105e-01  -9.310e-04   1.109e-04
  276  -6.997e-01  -1.066e-03   1.125e-04
  277  -6.818e-01   3.747e-04   1.131e-04
  278  -6.573e-01   4.136e-03   1.101e-04
  279  -6.265e-01   1.091e-02   9.973e-05
  280  -5.902e-01   2.132e-02   7.804e-05
  281  -5.489e-01   3.591e-02   4.091e-05
  282  -5.035e-01   5.511e-02  -1.510e-05
  283  -4.550e-01   7.923e-02  -9.207e-05
  284  -4.043e-01   1.084e-01  -1.898e-04
  285  -3.525e-01   1.427e-01  -3.049e-04
  286  -3.007e-01   1.820e-01  -4.297e-04
  287  -2.501e-01   2.257e-01  -5.520e-04
  288  -2.017e-01   2.735e-01  -6.546e-04
  289  -1.567e-01   3.243e-01  -7.168e-04
  290  -1.162e-01   3.772e-01  -7.165e-04
  291  -8.098e-02   4.308e-01  -6.344e-04
  292  -5.189e-02   4.833e-01  -4.602e-04
  293  -2.933e-02   5.330e-01  -1.983e-04
  294  -1.337e-02   5.776e-01   1.270e-04
  295  -3.617e-03   6.152e-01   4.725e-04
  296   8.484e-04   6.437e-01   7.810e-04
  297   1.447e-03   6.615e-01   9.953e-04
  298   0.000e+00   6.676e-01   1.072e-03
  299  -7.104e-01  -9.169e-04   1.039e-04
  300  -6.996e-01  -1.040e-03   1.054e-04
  301  -6.818e-01   4.090e-04   1.058e-04
  302  -6.573e-01   4.173e-03   1.021e-04
  303  -6.266e-01   1.095e-02   9.066e-05
  304  -5.903e-01   2.136e-02   6.711e-05
  305  -5.490e-01   3.595e-02   2.729e-05
  306  -5.037e-01   5.515e-02  -3.219e-05
  307  -4.551e-01   7.929e-02  -1.132e-04
  308  -4.043e-01   1.085e-01  -2.149e-04
  309  -3.524e-01   1.429e-01  -3.330e-04
